EMP,ESTAB,old_naics,state,county,NAICS2012
0,1,5418,48,001,5418
0,1,54184,48,001,54184
0,1,541840,48,001,541840
27,6,5419,48,001,5419
0,2,54192,48,001,54192
0,2,541921,48,001,541921
0,4,54194,48,001,54194
0,4,541940,48,001,541940
0,2,55,48,001,55
0,2,551,48,001,551
0,2,5511,48,001,5511
0,2,55111,48,001,55111
0,2,551114,48,001,551114
317,25,56,48,001,56
0,22,561,48,001,561
0,3,5611,48,001,5611
0,3,56111,48,001,56111
0,3,561110,48,001,561110
0,1,5613,48,001,5613
0,1,56132,48,001,56132
0,1,561320,48,001,561320
0,3,5614,48,001,5614
0,1,56141,48,001,56141
0,1,561410,48,001,561410
0,1,56143,48,001,56143
0,1,561431,48,001,561431
0,1,56149,48,001,56149
0,1,561499,48,001,561499
0,2,5615,48,001,5615
0,2,56151,48,001,56151
0,2,561510,48,001,561510
0,2,5616,48,001,5616
0,1,56161,48,001,56161
0,1,561611,48,001,561611
0,1,56162,48,001,56162
0,1,561621,48,001,561621
77,11,5617,48,001,5617
0,1,56171,48,001,56171
0,1,561710,48,001,561710
33,3,56172,48,001,56172
33,3,561720,48,001,561720
0,7,56173,48,001,56173
0,7,561730,48,001,561730
0,3,562,48,001,562
0,2,5621,48,001,5621
0,2,56211,48,001,56211
0,2,562111,48,001,562111
0,1,5629,48,001,5629
0,1,56299,48,001,56299
0,1,562991,48,001,562991
25,6,61,48,001,61
25,6,611,48,001,611
0,1,6111,48,001,6111
0,1,61111,48,001,61111
0,1,611110,48,001,611110
0,2,6114,48,001,6114
0,2,61143,48,001,61143
0,2,611430,48,001,611430
0,2,6116,48,001,6116
0,1,61161,48,001,61161
0,1,611610,48,001,611610
0,1,61162,48,001,61162
0,1,611620,48,001,611620
0,1,6117,48,001,6117
0,1,61171,48,001,61171
0,1,611710,48,001,611710
2079,144,62,48,001,62
676,109,621,48,001,621
365,68,6211,48,001,6211
365,68,62111,48,001,62111
0,67,621111,48,001,621111
0,1,621112,48,001,621112
73,13,6212,48,001,6212
73,13,62121,48,001,62121
73,13,621210,48,001,621210
108,19,6213,48,001,6213
0,4,62131,48,001,62131
0,4,621310,48,001,621310
0,1,62132,48,001,62132
0,1,621320,48,001,621320
0,2,62133,48,001,62133
0,2,621330,48,001,621330
0,7,62134,48,001,62134
0,7,621340,48,001,621340
66,5,62139,48,001,62139
0,1,621391,48,001,621391
0,4,621399,48,001,621399
0,1,6214,48,001,6214
0,1,62149,48,001,62149
0,1,621492,48,001,621492
0,3,6215,48,001,6215
0,3,62151,48,001,62151
0,2,621511,48,001,621511
0,1,621512,48,001,621512
103,5,6216,48,001,6216
103,5,62161,48,001,62161
103,5,621610,48,001,621610
0,1,622,48,001,622
0,1,6223,48,001,6223
0,1,62231,48,001,62231
0,1,622310,48,001,622310
578,16,623,48,001,623
458,5,6231,48,001,6231
458,5,62311,48,001,62311
458,5,623110,48,001,623110
0,7,6232,48,001,6232
0,7,62321,48,001,62321
0,7,623210,48,001,623210
0,3,6233,48,001,6233
0,3,62331,48,001,62331
0,1,623311,48,001,623311
0,2,623312,48,001,623312
0,1,6239,48,001,6239
0,1,62399,48,001,62399
0,1,623990,48,001,623990
0,18,624,48,001,624
30,3,6241,48,001,6241
0,2,62412,48,001,62412
0,2,624120,48,001,624120
0,1,62419,48,001,62419
0,1,624190,48,001,624190
0,1,6242,48,001,6242
0,1,62422,48,001,62422
0,1,624221,48,001,624221
0,2,6243,48,001,6243
0,2,62431,48,001,62431
0,2,624310,48,001,624310
0,12,6244,48,001,6244
0,12,62441,48,001,62441
0,12,624410,48,001,624410
128,13,71,48,001,71
0,2,712,48,001,712
0,2,7121,48,001,7121
0,1,71211,48,001,71211
0,1,712110,48,001,712110
0,1,71219,48,001,71219
0,1,712190,48,001,712190
0,11,713,48,001,713
0,11,7139,48,001,7139
0,3,71391,48,001,71391
0,3,713910,48,001,713910
0,1,71393,48,001,71393
0,1,713930,48,001,713930
0,4,71394,48,001,71394
0,4,713940,48,001,713940
0,1,71395,48,001,71395
0,1,713950,48,001,713950
0,2,71399,48,001,71399
0,2,713990,48,001,713990
1153,71,72,48,001,72
67,12,721,48,001,721
0,10,7211,48,001,7211
0,9,72111,48,001,72111
0,9,721110,48,001,721110
0,1,72119,48,001,72119
0,1,721191,48,001,721191
0,1,7212,48,001,7212
0,1,72121,48,001,72121
0,1,721211,48,001,721211
0,1,7213,48,001,7213
0,1,72131,48,001,72131
0,1,721310,48,001,721310
1086,59,722,48,001,722
459,23,7221,48,001,7221
459,23,72211,48,001,72211
459,23,722110,48,001,722110
600,31,7222,48,001,7222
600,31,72221,48,001,72221
584,28,722211,48,001,722211
0,1,722212,48,001,722212
0,2,722213,48,001,722213
0,3,7223,48,001,7223
0,2,72231,48,001,72231
0,2,722310,48,001,722310
0,1,72232,48,001,72232
0,1,722320,48,001,722320
0,2,7224,48,001,7224
0,2,72241,48,001,72241
0,2,722410,48,001,722410
587,103,81,48,001,81
162,27,811,48,001,811
154,24,8111,48,001,8111
99,15,81111,48,001,81111
0,13,811111,48,001,811111
0,1,811112,48,001,811112
0,1,811113,48,001,811113
41,6,81112,48,001,81112
41,6,811121,48,001,811121
14,3,81119,48,001,81119
0,2,811191,48,001,811191
0,1,811198,48,001,811198
0,2,8113,48,001,8113
0,2,81131,48,001,81131
0,2,811310,48,001,811310
0,1,8114,48,001,8114
0,1,81141,48,001,81141
0,1,811412,48,001,811412
84,15,812,48,001,812
0,6,8121,48,001,8121
0,5,81211,48,001,81211
0,1,812111,48,001,812111
15,4,812112,48,001,812112
0,1,81219,48,001,81219
0,1,812199,48,001,812199
0,2,8122,48,001,8122
0,2,81221,48,001,81221
0,2,812210,48,001,812210
33,4,8123,48,001,8123
0,1,81231,48,001,81231
0,1,812310,48,001,812310
0,3,81232,48,001,81232
0,3,812320,48,001,812320
4,3,8129,48,001,8129
